Name;ID_Image;Upper;Lower;Footwear;Accesory
OEFU1;OEFU1.png;Blazer de lana;Pantalón de vestir;Oxfords negros;Reloj de pulsera
OEFU2;OEFU2.png;Suéter de cashmere;Jeans slim oscuros;Botines;Bufanda de seda
OEFU3;OEFU3.png;Chaleco de tweed;Pantalón de corduroy;Zapatos Derby;Guantes de cuero
OEFU4;OEFU4.png;Camisa de cuello alto;Falda pantalón de lana;Botas Chelsea;Corbata delgada
OEFU5;OEFU5.png;Cardigán abotonado;Pantalón de vestir;Oxfords negros;Pañuelo de bolsillo
OEFU6;OEFU6.png;Blazer de lana;Jeans slim oscuros;Botines;Gafas de pasta
OEFU7;OEFU7.png;Suéter de cashmere;Pantalón de corduroy;Zapatos Derby;Bufanda de seda
OEFU8;OEFU8.png;Chaleco de tweed;Falda pantalón de lana;Botas Chelsea;Reloj de pulsera
OEFU9;OEFU9.png;Camisa de cuello alto;Pantalón de vestir;Oxfords negros;Corbata delgada
OEFU10;OEFU10.png;Cardigán abotonado;Jeans slim oscuros;Botines;Pañuelo de bolsillo
OETU1;OETU1.png;Blazer de lino;Pantalón chino;Mocasines;Reloj de madera
OETU2;OETU2.png;Camisa de manga larga;Bermudas de vestir;Zapatos de lona;Cinturón de cuero
OETU3;OETU3.png;Chaleco de punto fino;Pantalón de vestir;Zapatos Oxford;Gafas redondas
OETU4;OETU4.png;Polo de seda;Pantalón de lino;Mocasines;Pañuelo al cuello
OETU5;OETU5.png;Blazer de lino;Bermudas de vestir;Zapatos de lona;Reloj de pulsera
OETU6;OETU6.png;Camisa de manga larga;Pantalón chino;Zapatos Oxford;Cinturón de cuero
OETU7;OETU7.png;Chaleco de punto fino;Pantalón de lino;Mocasines;Gafas redondas
OETU8;OETU8.png;Polo de seda;Bermudas de vestir;Zapatos de lona;Pañuelo al cuello
OETU9;OETU9.png;Blazer de lino;Pantalón de vestir;Zapatos Oxford;Reloj de madera
OETU10;OETU10.png;Camisa de manga larga;Pantalón de lino;Mocasines;Cinturón de cuero
OESU1;OESU1.png;Camisa de lino blanco;Pantalón de lino;Alpargatas;Gafas de sol
OESU2;OESU2.png;Polo de algodón;Bermudas de lino;Zapatos de lona;Sombrero de paja
OESU3;OESU3.png;Camiseta de cuello alto;Pantalón chino claro;Mocasines;Collar minimalista
OESU4;OESU4.png;Camisa abierta de lino;Bermudas de vestir;Alpargatas;Pulsera de cuero
OESU5;OESU5.png;Polo de algodón;Pantalón de lino;Zapatos de lona;Gafas de sol
OESU6;OESU6.png;Camiseta de cuello alto;Bermudas de lino;Mocasines;Sombrero de paja
OESU7;OESU7.png;Camisa de lino blanco;Pantalón chino claro;Alpargatas;Collar minimalista
OESU8;OESU8.png;Camisa abierta de lino;Bermudas de vestir;Zapatos de lona;Pulsera de cuero
OESU9;OESU9.png;Polo de algodón;Pantalón de lino;Mocasines;Gafas de sol
OESU10;OESU10.png;Camiseta de cuello alto;Bermudas de lino;Alpargatas;Sombrero de paja
OECU1;OECU1.png;Guayabera de lino;Pantalón de lino claro;Sandalias elegantes;Gafas de sol grandes
OECU2;OECU2.png;Camisa de manga corta;Bermudas de algodón;Alpargatas;Sombrero de paja
OECU3;OECU3.png;Polo sin mangas;Pantalón de lino;Mocasines;Collar de cuentas
OECU4;OECU4.png;Camisa abierta de algodón;Bermudas de lino;Sandalias elegantes;Pulseras de hilo
OECU5;OECU5.png;Camisa de manga corta;Pantalón de lino claro;Alpargatas;Gafas de sol grandes
OECU6;OECU6.png;Polo sin mangas;Bermudas de algodón;Mocasines;Sombrero de paja
OECU7;OECU7.png;Guayabera de lino;Pantalón de lino;Sandalias elegantes;Collar de cuentas
OECU8;OECU8.png;Camisa abierta de algodón;Bermudas de lino;Alpargatas;Pulseras de hilo
OECU9;OECU9.png;Camisa de manga corta;Pantalón de lino claro;Mocasines;Gafas de sol grandes
OECU10;OECU10.png;Polo sin mangas;Bermudas de algodón;Sandalias elegantes;Sombrero de paja
OEFT1;OEFT1.png;Blazer de lana gris;Pantalón de vestir negro;Oxfords negros;Reloj de acero
OEFT2;OEFT2.png;Suéter turtleneck;Falda-pantalón de lana;Botines;Bufanda de cachemira
