Name;ID_Image;Upper;Lower;Footwear;Accesory
OHFU1;OHFU1.png;Suéter oversize gris;Jeans ajustados;Botines cuero;Gorro de lana
OHFU2;OHFU2.png;Camisa de franela;Jeans ajustados;Botines cuero;Bufanda gruesa
OHFU3;OHFU3.png;Suéter oversize gris;Pantalón negro;Botas Dr. Martens;Gorro de lana
OHFU4;OHFU4.png;Camisa de franela;Pantalón negro;Botas Dr. Martens;Lentes redondos
OHFU5;OHFU5.png;Cárdigan mostaza;Jeans ajustados;Botines cuero;Tote bag
OHFU6;OHFU6.png;Camisa de franela;Jeans rotos;Zapatillas Vans;Gorro de lana
OHFU7;OHFU7.png;Suéter oversize gris;Jeans rotos;Zapatillas Vans;Bufanda gruesa
OHFU8;OHFU8.png;Cárdigan mostaza;Pantalón negro;Botines cuero;Gorro de lana
OHFU9;OHFU9.png;Hoodie vintage;Jeans ajustados;Botas Dr. Martens;Tote bag
OHFU10;OHFU10.png;Suéter oversize gris;Jeans ajustados;Botines cuero;Gafas oscuras
OHTU1;OHTU1.png;Camiseta estampada;Jeans ajustados;Zapatillas Vans;Lentes redondos
OHTU2;OHTU2.png;Camisa de mezclilla;Pantalón beige;Botines cuero;Sombrero Fedora
OHTU3;OHTU3.png;Hoodie vintage;Pantalón negro;Zapatillas Vans;Tote bag
OHTU4;OHTU4.png;Camisa de franela;Jeans ajustados;Zapatillas Vans;Mochila lona
OHTU5;OHTU5.png;Camiseta estampada;Jeans rotos;Converse negras;Pulsera de cuero
OHTU6;OHTU6.png;Camisa de mezclilla;Jeans ajustados;Converse negras;Lentes redondos
OHTU7;OHTU7.png;Camisa de franela;Pantalón beige;Zapatillas Vans;Sombrero Fedora
OHTU8;OHTU8.png;Hoodie vintage;Jeans ajustados;Zapatillas Vans;Pulsera de cuero
OHTU9;OHTU9.png;Camiseta estampada;Jeans ajustados;Converse negras;Lentes redondos
OHTU10;OHTU10.png;Camisa de mezclilla;Jeans rotos;Zapatillas Vans;Mochila lona
OHSU1;OHSU1.png;Camiseta estampada;Shorts denim;Sandalias Birkenstock;Gafas oscuras
OHSU2;OHSU2.png;Camisa de lino;Pantalón ligero;Converse blancas;Tote bag
OHSU3;OHSU3.png;Tank top rayado;Shorts beige;Vans slip-on;Gorra retro
OHSU4;OHSU4.png;Camisa de lino;Shorts denim;Converse blancas;Lentes redondos
OHSU5;OHSU5.png;Camiseta estampada;Pantalón ligero;Zapatillas Vans;Pulsera de hilo
