Name;ID_Image;Upper;Lower;Footwear;Accesory
OVFU1;OVFU1.png;Suéter de lana oversized;Jeans rectos vintage;Botines de cuero;Bufanda a cuadros
OVFU2;OVFU2.png;Camisa de franela;Pantalón de corduroy;Botas Chelsea;Gafas de pasta
OVFU3;OVFU3.png;Cardigán abotonado;Jeans bootcut;Zapatos Oxford;Gorro beret
OVFU4;OVFU4.png;Chaqueta de mezclilla;Pantalón de pana;Botines de cuero;Guantes de lana
OVFU5;OVFU5.png;Suéter de cuello alto;Jeans rectos vintage;Botas Dr. Martens;Pañuelo al cuello
OVFU6;OVFU6.png;Camisa de franela;Pantalón de corduroy;Zapatos Oxford;Mochila de lona
OVFU7;OVFU7.png;Cardigán abotonado;Jeans bootcut;Botines de cuero;Bufanda a cuadros
OVFU8;OVFU8.png;Chaqueta de mezclilla;Pantalón de pana;Botas Chelsea;Gafas de pasta
OVFU9;OVFU9.png;Suéter de cuello alto;Jeans rectos vintage;Zapatos Oxford;Gorro beret
OVFU10;OVFU10.png;Suéter de lana oversized;Pantalón de corduroy;Botas Dr. Martens;Mochila de lona
OVTU1;OVTU1.png;Camisa de mezclilla;Overalls vintage;Zapatos Converse;Bandana estampada
OVTU2;OVTU2.png;Polo retro;Pantalón chino;Zapatos Vans;Gorra plana
OVTU3;OVTU3.png;Camisa de rayas marineras;Jeans rectos;Zapatos Oxford;Mochila de cuero
OVTU4;OVTU4.png;Suéter ligero de algodón;Pantalón de lino;Zapatos Converse;Gafas redondas
OVTU5;OVTU5.png;Camisa de mezclilla;Jeans rectos;Zapatos Vans;Pañuelo al cuello
OVTU6;OVTU6.png;Polo retro;Overalls vintage;Zapatos Oxford;Bandana estampada
OVTU7;OVTU7.png;Camisa de rayas marineras;Pantalón chino;Zapatos Converse;Gorra plana
OVTU8;OVTU8.png;Suéter ligero de algodón;Jeans rectos;Zapatos Vans;Mochila de cuero
OVTU9;OVTU9.png;Camisa de mezclilla;Pantalón de lino;Zapatos Oxford;Gafas redondas
OVTU10;OVTU10.png;Polo retro;Jeans rectos;Zapatos Converse;Pañuelo al cuello
OVSU1;OVSU1.png;Camisa de lino estampada;Shorts de mezclilla;Alpargatas;Gafas de sol
OVSU2;OVSU2.png;Polo vintage;Bermuda de lino;Zapatos de lona;Sombrero veish
OVSU3;OVSU3.png;Camiseta gráfica retro;Shorts de denim;Sandalias;Pulseras de cuero
OVSU4;OVSU4.png;Camisa abierta de lino;Bermuda de lino;Alpargatas;Bandana
OVSU5;OVSU5.png;Polo vintage;Shorts de mezclilla;Zapatos de lona;Gafas de sol
OVSU6;OVSU6.png;Camiseta gráfica retro;Bermuda de lino;Sandalias;Sombrero veish
OVSU7;OVSU7.png;Camisa de lino estampada;Shorts de denim;Alpargatas;Pulseras de cuero
OVSU8;OVSU8.png;Camisa abierta de lino;Shorts de mezclilla;Zapatos de lona;Bandana
OVSU9;OVSU9.png;Polo vintage;Bermuda de lino;Sandalias;Gafas de sol
OVSU10;OVSU10.png;Camiseta gráfica retro;Shorts de mezclilla;Alpargatas;Sombrero veish
OVCU1;OVCU1.png;Camisa hawaiana;Shorts de lino;Sandalias;Gafas de sol grandes
OVCU2;OVCU2.png;Tank top vintage;Bermuda de algodón;Alpargatas;Sombrero veish
OVCU3;OVCU3.png;Camiseta sin mangas;Shorts de denim;Sandalias planas;Collar de cuentas
OVCU4;OVCU4.png;Camisa abierta ligera;Bermuda de algodón;Alpargatas;Pulseras de colores
OVCU5;OVCU5.png;Tank top vintage;Shorts de lino;Sandalias;Gafas de sol grandes
OVCU6;OVCU6.png;Camiseta sin mangas;Bermuda de algodón;Alpargatas;Sombrero veish
OVCU7;OVCU7.png;Camisa hawaiana;Shorts de denim;Sandalias planas;Collar de cuentas
OVCU8;OVCU8.png;Camisa abierta ligera;Shorts de lino;Alpargatas;Pulseras de colores
OVCU9;OVCU9.png;Tank top vintage;Bermuda de algodón;Sandalias;Gafas de sol grandes
OVCU10;OVCU10.png;Camisa hawaiana;Shorts de denim;Alpargatas;Sombrero veish
OVFT1;OVFT1.png;Blazer de tweed;Pantalón de vestir alto;Oxfords de cuero;Corbata vintage
OVFT2;OVFT2.png;Cardigán de lana gruesa;Chaleco de corduroy;Botines;Reloj de bolsillo
OVFT3;OVFT3.png;Camisa de franela;Pantalón de pana;Zapatos Derby;Pañuelo de seda
OVFT4;OVFT4.png;Suéter de cuello alto;Falda pantalón de tweed;Botas Chelsea;Broche metálico
OVFT5;OVFT5.png;Chaqueta de mezclilla;Pantalón de vestir;Oxfords de cuero;Cinturón de cuero
OVFT6;OVFT6.png;Blazer de lana;Jeans rectos oscuros;Botines;Gafas de pasta
OVFT7;OVFT7.png;Camisa de rayas;Pantalón de corduroy;Zapatos Derby;Corbata estrecha
OVFT8;OVFT8.png;Chaleco de lana;Falda midi de lana;Botas Chelsea;Reloj de pulsera
OVFT9;OVFT9.png;Cardigán abotonado;Pantalón de vestir;Oxfords de cuero;Pañuelo al cuello
OVFT10;OVFT10.png;Blazer de tweed;Jeans rectos oscuros;Botines;Corbata vintage
OVTT1;OVTT1.png;Blazer de lino;Pantalón chino;Mocasines;Reloj de madera
OVTT2;OVTT2.png;Camisa de manga corta;Overalls de algodón;Zapatos de lona;Bandana estampada
OVTT3;OVTT3.png;Chaleco de punto;Pantalón de vestir;Zapatos Oxford;Gafas cat eye
OVTT4;OVTT4.png;Camisa de lino;Bermudas de vestir;Mocasines;Cinturón de tela
OVTT5;OVTT5.png;Blazer de mezclilla;Pantalón chino;Zapatos de lona;Pañuelo al cuello
OVTT6;OVTT6.png;Polo retro;Overalls de algodón;Zapatos Oxford;Reloj de pulsera
OVTT7;OVTT7.png;Camisa de manga corta;Pantalón de vestir;Mocasines;Gafas redondas
OVTT8;OVTT8.png;Chaleco de punto;Bermudas de vestir;Zapatos de lona;Bandana estampada
OVTT9;OVTT9.png;Camisa de lino;Pantalón chino;Zapatos Oxford;Cinturón de tela
OVTT10;OVTT10.png;Blazer de mezclilla;Overalls de algodón;Mocasines;Pañuelo al cuello
OVST1;OVST1.png;Guayabera vintage;Pantalón de lino;Alpargatas;Gafas de sol
OVST2;OVST2.png;Camisa de manga corta;Bermudas de vestir;Zapatos de lona;Sombrero veish
OVST3;OVST3.png;Polo de lino;Pantalón chino claro;Mocasines;Collar de cuentas
OVST4;OVST4.png;Camisa abierta de lino;Bermudas de lino;Alpargatas;Pulseras de madera
OVST5;OVST5.png;Guayabera vintage;Pantalón chino claro;Zapatos de lona;Gafas de sol
OVST6;OVST6.png;Polo de lino;Bermudas de vestir;Mocasines;Sombrero veish
OVST7;OVST7.png;Camisa de manga corta;Pantalón de lino;Alpargatas;Collar de cuentas
OVST8;OVST8.png;Camisa abierta de lino;Bermudas de lino;Zapatos de lona;Pulseras de madera
OVST9;OVST9.png;Guayabera vintage;Bermudas de vestir;Mocasines;Gafas de sol
OVST10;OVST10.png;Polo de lino;Pantalón de lino;Alpargatas;Sombrero veish
OVCT1;OVCT1.png;Camisa de lino ligero;Shorts de vestir;Sandalias planas;Gafas de sol grandes
OVCT2;OVCT2.png;Polo sin mangas;Bermudas de algodón;Alpargatas;Sombrero veish
OVCT3;OVCT3.png;Camiseta de cuello alto;Shorts de lino;Mocasines;Collar de semillas
OVCT4;OVCT4.png;Camisa abierta de algodón;Bermudas de lino;Sandalias planas;Pulseras de colores
OVCT5;OVCT5.png;Polo sin mangas;Shorts de vestir;Alpargatas;Gafas de sol grandes
OVCT6;OVCT6.png;Camiseta de cuello alto;Bermudas de algodón;Mocasines;Sombrero veish
OVCT7;OVCT7.png;Camisa de lino ligero;Shorts de lino;Sandalias planas;Collar de semillas
OVCT8;OVCT8.png;Camisa abierta de algodón;Bermudas de lino;Alpargatas;Pulseras de colores
OVCT9;OVCT9.png;Polo sin mangas;Shorts de vestir;Mocasines;Gafas de sol grandes
OVCT10;OVCT10.png;Camiseta de cuello alto;Bermudas de algodón;Sandalias planas;Sombrero veish
OVFF1;OVFF1.png;Blazer de terciopelo;Pantalón de campana;Botines de cuero;Pañuelo de seda
OVFF2;OVFF2.png;Suéter de lana estampado;Jeans vintage;Botas Chelsea;Gafas de pasta
OVFF3;OVFF3.png;Chaleco con lentejuelas;Pantalón de pana;Zapatos Oxford;Corbata vintage
OVFF4;OVFF4.png;Camisa de satén;Pantalón de vestir;Botines de cuero;Guantes de cuero
OVFF5;OVFF5.png;Cardigán oversize;Jeans bootcut;Botas Dr. Martens;Bufanda a cuadros
OVFF6;OVFF6.png;Blazer de terciopelo;Pantalón de pana;Zapatos Oxford;Reloj de bolsillo
OVFF7;OVFF7.png;Suéter de lana estampado;Pantalón de campana;Botines de cuero;Anillos metálicos
OVFF8;OVFF8.png;Chaleco con lentejuelas;Jeans vintage;Botas Chelsea;Pañuelo de seda
OVFF9;OVFF9.png;Camisa de satén;Pantalón de vestir;Botas Dr. Martens;Gafas de pasta
OVFF10;OVFF10.png;Cardigán oversize;Jeans bootcut;Zapatos Oxford;Corbata vintage
OVTF1;OVTF1.png;Camisa de seda estampada;Pantalón palazzo;Zapatos de charol;Bandana estampada
OVTF2;OVTF2.png;Jumpsuit retro de lino;Cinturón ancho;Mocasines;Collar de medallón
OVTF3;OVTF3.png;Blazer de lino;Jeans rectos;Zapatos de charol;Gafas cat eye
OVTF4;OVTF4.png;Camisa hawaiana vintage;Pantalón palazzo;Mocasines;Pulseras de cuero
OVTF5;OVTF5.png;Jumpsuit retro de lino;Jeans rectos;Zapatos de charol;Bandana estampada
OVTF6;OVTF6.png;Blazer de lino;Pantalón palazzo;Mocasines;Collar de medallón
OVTF7;OVTF7.png;Camisa de seda estampada;Jumpsuit retro de lino;Zapatos de charol;Gafas cat eye
OVTF8;OVTF8.png;Camisa hawaiana vintage;Jeans rectos;Mocasines;Pulseras de cuero
OVTF9;OVTF9.png;Jumpsuit retro de lino;Pantalón palazzo;Zapatos de charol;Bandana estampada
OVTF10;OVTF10.png;Blazer de lino;Jumpsuit retro de lino;Mocasines;Collar de medallón
OVSF1;OVSF1.png;Camisa de lino estampada;Shorts de mezclilla;Alpargatas;Gafas redondas
OVSF2;OVSF2.png;Polo vintage;Bermuda a cuadros;Zapatos de lona;Sombrero panamá
OVSF3;OVSF3.png;Tank top retro;Shorts de lino;Sandalias;Collar de cuentas
OVSF4;OVSF4.png;Camisa abierta de lino;Bermuda a cuadros;Alpargatas;Pulseras de madera
OVSF5;OVSF5.png;Polo vintage;Shorts de mezclilla;Zapatos de lona;Gafas redondas
OVSF6;OVSF6.png;Tank top retro;Bermuda a cuadros;Sandalias;Sombrero panamá
OVSF7;OVSF7.png;Camisa de lino estampada;Shorts de lino;Alpargatas;Collar de cuentas
OVSF8;OVSF8.png;Camisa abierta de lino;Shorts de mezclilla;Zapatos de lona;Pulseras de madera
OVSF9;OVSF9.png;Polo vintage;Shorts de lino;Sandalias;Gafas redondas
